sentence,label,validity,faults,domain,year,title,source,slide
ACC did not illuminate brake light to warn vehicle in the behind.,hazard,valid,valid,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7.0
"ACC did not maintain a safe distance from the object in the front, resultng in collision.",hazard,invalid,condition,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,6.0
ACC does not maintain a safe distance from the object in the front (resulting in a collision).,hazard,valid,valid,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24.0
ACC does not reduce throttle and apply the braking force to maintain safe distance as preset by driver when vehicle catches up with a slower preceding vehicle.,hazard,invalid,rewrite,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7.0
ACC estimates wrong values of distance and speed of vehicle ahead.,hazard,valid,valid,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7.0
ACC must not brake too abruptly.,constraint,valid,valid,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24.0
ACC must not violate separation requirements with object ahead.,constraint,valid,valid,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24.0
ACC should not brake too abruptly.,constraint,valid,valid,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,7.0
ACC should not let the vehicle gets in contact with the object ahead.,constraint,valid,valid,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,7.0
ACC slows down the vehicle too abruptly (and vehicle is rear-ended).,hazard,valid,valid,automotive,2013,Introduction,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Leveson-tutorial-intro.pdf,24.0
"ACC slows down the vehicle too abruptly, and vehicle is rear-ended.",hazard,valid,valid,automotive,2012,STPA Analysis of an Adaptive Cruise Control System,http://psas.scripts.mit.edu/home/get_pdf.php?name=2-14-Qi-STPA-Analysis-of-an-Adaptive-Cruise-Control-System.pdf,6.0
ACC violates the safe distance between ACC vehicle and vehicle in front.,hazard,valid,valid,automotive,2013,Experiences with Applying STPA to Software-Intensive Systems in the Automotive Domain,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Abdulkhaleq_STAMP_2013.pdf,7.0
ACS must not continue providing attitude maneuver commands too long after attitude has stabilized.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
ACS must not provide attitude maneuver commands in the same direction as rotation.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
ACS must not provide attitude maneuver commands too early to achieve desired attitude.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
ACS must not provide attitude maneuver commands too late after ASTRO-H has rotated too far.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
ACS must not provide attitude maneuver commands when ASTRO-H is not rotating.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
ACS must not stop providing attitude commands too soon before attitude has stabilized.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
ACS must provide attitude maneuver commands that are sufficient to slow ASTRO-H quickly.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
ACS must provide attitude maneuver commands when ASTRO-H is rotating.,constraint,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,9.0
"Actuator (Throttle, Spark, Fuel, etc.) Control shall be synchronized with axle torque request.",constraint,valid,valid,automotive,2013,Compatibility Study of STPA with Automotive Safety Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/04_Sundaram_GM_STPA_Study_Presentation_MIT.pdf,22.0
"After rotation, the skid angle must be reduced to keep wings leveled.",constraint,valid,valid,aviation,2015,Application of STPA for Hazard Analysis on Light Aircraft Crosswind Takeoffs,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Castilho-Crosswind-Takeoffs.pdf,35.0
Aircraft (including both manned and unmanned systems) in the air are damaged or destroyed.,loss,valid,valid,aviation,2017,STAMP applied to SUAS at Edwards AFB,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Sarah-Summers_Folse_STPA-Applied-To-SUAS-Use-At-Edwards-AFB.pdf,11.0
Aircraft airframe integrity is degraded.,hazard,valid,valid,aviation,2020,Introduction to STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/07/JThomas-STPA-Introduction.pdf,52.0
Aircraft comes too close to airport infrastructure components during operations on the ground.,hazard,invalid,condition,aviation,2018,STPA for Airports: Safety Hazard Analysis for Airport Operations in Hub Airports,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-for-Airports-v2-MIT-2018-1.pdf,23.0
Aircraft comes too close to service equipment components during operations on the ground.,hazard,invalid,condition,aviation,2018,STPA for Airports: Safety Hazard Analysis for Airport Operations in Hub Airports,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-for-Airports-v2-MIT-2018-1.pdf,23.0
Aircraft component is powered up when hazardous FLS is installed,hazard,invalid,condition,aviation,2015,Cyber Security in Aircraft Networks Control Systems,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Helfer-aviation-software-presentation.pdf,10.0
Aircraft component must not be powered up when hazardous FLS is installed.,constraint,valid,valid,aviation,2015,Cyber Security in Aircraft Networks Control Systems,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Helfer-aviation-software-presentation.pdf,10.0
Aircraft crashes into terrain / ocean.,loss,invalid,accident,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30.0
Aircraft crashes.,loss,invalid,accident,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,16.0
Aircraft does not stop before the runway end.,hazard,valid,valid,aviation,2019,STPA Analysis of Aircraft Landing Phase with Focus on Runway Excursion,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thrus-Morn_Reiser_PUB_2019.pdf,12.0
Aircraft enters a prohibited area.,hazard,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77.0
Aircraft enters a runway with no clearance.,hazard,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft enters an unsafe atmospheric region.,hazard,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77.0
Aircraft enters prohibited area.,hazard,valid,valid,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17.0
Aircraft enters prohibited area.,hazard,valid,valid,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30.0
Aircraft enters uncontrolled state.,hazard,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77.0
Aircraft enters uncontrolled state.,hazard,valid,valid,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17.0
Aircraft enters uncontrolled state.,hazard,valid,valid,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30.0
Aircraft enters unsafe atmospheric region.,hazard,valid,valid,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17.0
Aircraft enters unsafe atmospheric region.,hazard,valid,valid,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30.0
Aircraft enters unsafe attitude (excessive turbulence or pitch/roll/yaw that causes passenger injury but not necessarily aircraft loss).,hazard,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77.0
Aircraft enters unsafe attitude.,hazard,valid,valid,aviation,2012,STPA Guided Exercise (aerospace example),https://psas.scripts.mit.edu/home/get_pdf.php?name=1-3-Advanced-Experienced-STPA-Guided-Exercise.pdf,17.0
Aircraft enters unsafe attitude.,hazard,valid,valid,aviation,2013,STPA Beginner’s Tutorial,https://psas.scripts.mit.edu/home/wp-content/uploads/2013/04/Basic_STPA_Tutorial1.pdf,30.0
Aircraft environment is harmful to human health.,hazard,valid,valid,aviation,2020,Introduction to STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/07/JThomas-STPA-Introduction.pdf,52.0
Aircraft flying off the route specified at flight plan.,hazard,valid,valid,aviation,2017,STPA-Sec for Security of Flight Management System,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Felipe-Oliveira_STPASec-For-Flight-Management-System.pdf,6.0
Aircraft is operated when hazardous FLS is installed.,hazard,invalid,condition,aviation,2015,Cyber Security in Aircraft Networks Control Systems,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Helfer-aviation-software-presentation.pdf,10.0
Aircraft loses its control or loses airframe integrity.,hazard,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft must be dispatched.,constraint,invalid,rewrite,aviation,2017,STPA-Sec for Security of Flight Management System,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Felipe-Oliveira_STPASec-For-Flight-Management-System.pdf,6.0
Aircraft must maintain criteria for stable approaches.,constraint,valid,valid,aviation,2019,Active STPA – A Systems-based Hazard Analysis for Safety Management Systems (SMS),http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Diogo-Castilho-on-Active-STPA.pdf,13.0
Aircraft must maintain its control and maintain airframe integrity.,constraint,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft must maintain separation with ground or obstacles on ground.,constraint,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft must maintain separation with other aircraft.,constraint,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft must not be operated when hazardous FLS is installed.,constraint,valid,valid,aviation,2015,Cyber Security in Aircraft Networks Control Systems,https://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Helfer-aviation-software-presentation.pdf,10.0
Aircraft must not enter a runway without clearance.,constraint,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft on ground must maintain separation with other objects and must not leave the paved area.,constraint,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft on the ground comes too close to other objects or leaves the paved area.,hazard,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft performs controlled maneuver into ground or into obstacles on ground.,hazard,invalid,rewrite,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
"Aircraft placed on trajectory or position that intersects with a physical obstruction (e.g., loss of separation, controlled flight into terrain).",hazard,valid,valid,aviation,2019,STPA for Security of Aircraft Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Weller-Fahy__PUB__2019-03-25_MIT-STAMP-Workshop_Weller-Fahy_Presentation.pdf,36.0
"Aircraft placed on trajectory that intersects with dangerous atmospheric conditions (e.g., storms, volcanic ash).",hazard,valid,valid,aviation,2019,STPA for Security of Aircraft Systems,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Weller-Fahy__PUB__2019-03-25_MIT-STAMP-Workshop_Weller-Fahy_Presentation.pdf,36.0
Aircraft shall be capable of remaining airborn in a controlled manner throughout the operation.,constraint,valid,valid,aviation,2022,Use of the STPA Technique in the Requirements Definition of a Drone Power Generation System,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-09-1130__Paulo%20Mendes__PUB.pdf,6.0
"Aircraft shall not enter a controlled airspace without broadcasting their location through Mode C, ADS-B, or IFF.",constraint,valid,valid,aviation,2017,STAMP applied to SUAS at Edwards AFB,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Sarah-Summers_Folse_STPA-Applied-To-SUAS-Use-At-Edwards-AFB.pdf,29.0
Aircraft shall not enter a controlled airspace without verbal confirmation from the controller.,constraint,valid,valid,aviation,2017,STAMP applied to SUAS at Edwards AFB,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/03/Sarah-Summers_Folse_STPA-Applied-To-SUAS-Use-At-Edwards-AFB.pdf,29.0
Aircraft should maintain a safe distance from obstacles and notify the operator when reaching the minimum distance.,constraint,valid,valid,aviation,2022,Use of the STPA Technique in the Requirements Definition of a Drone Power Generation System,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-09-1130__Paulo%20Mendes__PUB.pdf,6.0
Aircraft veers to a runway side.,hazard,valid,valid,aviation,2019,STPA Analysis of Aircraft Landing Phase with Focus on Runway Excursion,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thrus-Morn_Reiser_PUB_2019.pdf,12.0
Aircraft violate minimum separation standards in flight.,hazard,valid,valid,aviation,2020,Introduction to STPA,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/07/JThomas-STPA-Introduction.pdf,52.0
Aircraft violate minimum separation with other aircraft.,hazard,valid,valid,aviation,2016,17-Deriving safety constraints for Unmanned Aircraft Systems (UAS),https://psas.scripts.mit.edu/home/wp-content/uploads/2016/05/17-Urano-W2016.pdf,22.0
Aircraft violates criteria for stable approaches.,hazard,valid,valid,aviation,2019,Active STPA – A Systems-based Hazard Analysis for Safety Management Systems (SMS),http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Diogo-Castilho-on-Active-STPA.pdf,12.0
Aircraft violates minimum separation from airspace or other aircraft.,hazard,valid,valid,aviation,2019,Active STPA – A Systems-based Hazard Analysis for Safety Management Systems (SMS),http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Diogo-Castilho-on-Active-STPA.pdf,12.0
Aircraft violates the minimum separation from other aircrafts during operations on the ground.,hazard,invalid,condition,aviation,2018,STPA for Airports: Safety Hazard Analysis for Airport Operations in Hub Airports,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-for-Airports-v2-MIT-2018-1.pdf,23.0
Aircraft violates the minimum separation from service vehicles during operations on the ground.,hazard,invalid,condition,aviation,2018,STPA for Airports: Safety Hazard Analysis for Airport Operations in Hub Airports,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-for-Airports-v2-MIT-2018-1.pdf,23.0
Airframe integrity is lost during operations on the ground.,hazard,invalid,condition,aviation,2018,STPA for Airports: Safety Hazard Analysis for Airport Operations in Hub Airports,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-for-Airports-v2-MIT-2018-1.pdf,23.0
Airframe integrity must not be lost during flight.,constraint,valid,valid,aviation,2017,STPA During Early Concept Formation for Military Rotorcraft,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/05/STAMP-2017-Workshop-STPA-Presentation-Approved-For-Release.pdf,6.0
Airport infrastructure component integrity is lost during operations.,hazard,invalid,condition,aviation,2018,STPA for Airports: Safety Hazard Analysis for Airport Operations in Hub Airports,https://psas.scripts.mit.edu/home/wp-content/uploads/2018/04/STPA-for-Airports-v2-MIT-2018-1.pdf,23.0
All inspection procedures must be coordinated between implementers.,constraint,valid,valid,maritime,2015,STPA Applied to Port Security,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Williams-Port-Security.pdf,17.0
All the safety/mission critical military aerospace designs and products shall be Certified to allow use or operation.,constraint,valid,valid,military,2020,STPA Applied to Military Certification Process,https://psas.scripts.mit.edu/home/wp-content/uploads/2020/08/STPA-Applied-to-Military-Certification.pdf,11.0
An abnormal termination instruction must be given immediately if an abort is required.,constraint,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84.0
An abnormal termination instruction must be given when continuing the ITP would be unsafe.,constraint,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84.0
An abnormal termination instruction must not be given when it is not required to maintain safety and would result in a loss of separation.,constraint,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84.0
"An emergency shall stop the train, Doors shall open in an emergency after the train has stopped.",constraint,valid,valid,train,2017,STPA for the Internet of Things (IOT) ,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Greg-Pope_STPA-For-IoT-And-Mobile-Software_Slides.pdf,32.0
"An incident during this mission directly causes another mission to fail to collect, return, and/or use the scientific data corresponding to its mission goals.",loss,invalid,not,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,14.0
Approval must be given to the requesting aircraft only.,constraint,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84.0
Approval must not be given too early or too late (needs to be clarified as to the actual time limits).,constraint,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84.0
Approval of an ITP request must be given only when the ITP criteria are met.,constraint,valid,valid,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,84.0
"Asset damage (ship, battery trailer).",loss,invalid,rewrite,maritime,2023,Prioritizing the Results from STPA - Case Study of Battery Ferry,https://psas.scripts.mit.edu/home/wp-content/uploads/2023/2023-06-08-0950__Hyungju-Kim__PUB.pdf,21.0
ASTRO-H unable to collect scientific data.,hazard,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,3.0
ASTRO-H unable to communicate scientific data.,hazard,valid,valid,aerospace,2017,A Process for STPA: STAMP Accident Model of HITOMI and Expansion to Future Safety Culture,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/Thomas-A-Process-for-STPA.pdf,3.0
"At the launch rail, vehicle stages must be prevented from igniting before planned, even when subjected to commands or electric discharges.",constraint,valid,valid,aerospace,2019,STPA Applied to Launch Operations Management,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/5-Thurs-Morn__Merladet__PUB__STPA-MIT-STAMP-WORKSHOP-2019-28-03-19.pdf,13.0
Authorities do not award permits to the Project when required for start of related Project construction activities.,hazard,invalid,condition,oil,2015,Application of STAMP to Project Risk Management: A Workshop Approach,http://psas.scripts.mit.edu/home/wp-content/uploads/2015/03/2015-Pelegrin-STAMP-Project-Risk-Management.pdf,11.0
Autopilot does not react to other road crossing vehicles/obstacles.,hazard,valid,valid,automotive,2017,Evolution Issues of Automated Driving Functions by Application of Systemic Accident Analysis: On the Example of the Tesla Model S Fatality,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/HosseBagschik_Tesla-Model-S-Fatality_v5.pdf,14.0
Autopilot must send objects to Autopilot HMI when required.,constraint,valid,valid,automotive,2017,Evolution Issues of Automated Driving Functions by Application of Systemic Accident Analysis: On the Example of the Tesla Model S Fatality,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/HosseBagschik_Tesla-Model-S-Fatality_v5.pdf,22.0
Autopilot must send road signs to Autopilot HMI when required.,constraint,valid,valid,automotive,2017,Evolution Issues of Automated Driving Functions by Application of Systemic Accident Analysis: On the Example of the Tesla Model S Fatality,https://psas.scripts.mit.edu/home/wp-content/uploads/2017/04/HosseBagschik_Tesla-Model-S-Fatality_v5.pdf,22.0
AV activates due to incorrect request during autonomous maneuver.,hazard,invalid,condition,automotive,2019,STPA Analysis of Safety Measures for Zenuity’s Auto Valet Parking Demo,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Sidhu__PUB__Zenuity-Presentation-STAMP-Wkshp-2019-v7.pdf,7.0
AV activates without request during autonomous maneuver.,hazard,valid,valid,automotive,2019,STPA Analysis of Safety Measures for Zenuity’s Auto Valet Parking Demo,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Sidhu__PUB__Zenuity-Presentation-STAMP-Wkshp-2019-v7.pdf,7.0
AV behavior is uncomfortable for the passengers.,hazard,valid,valid,automotive,2022,STPA for Autonomous Vehicles Functions,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-08-1120__Anas%20Shahzad__PUB.pdf,6.0
AV collision with vulnerable road user (VRU).,loss,invalid,accident,automotive,2019,STPA Analysis of Safety Measures for Zenuity’s Auto Valet Parking Demo,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Sidhu__PUB__Zenuity-Presentation-STAMP-Wkshp-2019-v7.pdf,7.0
AV does not maintain a safe distance from vulnerable road users (VRUs) or other stationary or moving objects in the surroundings.,hazard,valid,valid,automotive,2022,STPA for Autonomous Vehicles Functions,https://psas.scripts.mit.edu/home/wp-content/uploads/2022/2022-06-08-1120__Anas%20Shahzad__PUB.pdf,6.0
AV does not maintain safe distance to another AV.,hazard,valid,valid,automotive,2019,STPA Analysis of Safety Measures for Zenuity’s Auto Valet Parking Demo,http://psas.scripts.mit.edu/home/wp-content/uploads/2019/04/1-Tues-Morn__Sidhu__PUB__Zenuity-Presentation-STAMP-Wkshp-2019-v7.pdf,7.0
